Account Statement for 00000001 () since 1/21/21 through 1/21/21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cash Balance,,,,,,,,,,,,,
DATE,TIME,TYPE,DESCRIPTION,Commissions & Fees,AMOUNT,BALANCE,,,,,,,
1/21/2021,11:24:22,TRD,SOLD -1 BBBY @28.06,,28.06,"29,822.74",,,,,,,
1/21/2021,11:24:44,TRD,SOLD -2 BBBY @28.065,,56.13,"29,878.87",,,,,,,
1/21/2021,11:30:17,TRD,SOLD -2 BBBY @28.075,,56.15,"29,935.02",,,,,,,
1/21/2021,11:30:51,TRD,SOLD -1 BBBY @28.16,,28.16,"29,963.18",,,,,,,
1/21/2021,11:30:51,TRD,SOLD -1 BBBY @28.16,,28.16,"29,991.34",,,,,,,
1/21/2021,11:34:52,TRD,SOLD -2 BBBY @28.15,,56.3,"30,047.64",,,,,,,
1/21/2021,11:43:50,TRD,BOT +10 GME @41.25,,-412.5,"29,635.14",,,,,,,
1/21/2021,11:44:03,TRD,SOLD -2 GME @41.34,,82.68,"29,717.82",,,,,,,
1/21/2021,11:44:04,TRD,SOLD -2 GME @41.33,,82.66,"29,800.48",,,,,,,
1/21/2021,11:44:13,TRD,SOLD -2 GME @41.36,,82.72,"29,883.20",,,,,,,
1/21/2021,11:44:24,TRD,SOLD -2 GME @41.61,,83.22,"29,966.42",,,,,,,
1/21/2021,11:44:44,TRD,SOLD -2 GME @41.35,,82.7,"30,049.12",,,,,,,
1/21/2021,11:46:20,TRD,BOT +10 GME @42.34,,-423.4,"29,625.72",,,,,,,
1/21/2021,11:46:53,TRD,SOLD -2 GME @42.39,,84.78,"29,710.50",,,,,,,
1/21/2021,11:46:55,TRD,SOLD -2 GME @42.445,,84.89,"29,795.39",,,,,,,
1/21/2021,11:46:58,TRD,SOLD -2 GME @42.705,,85.41,"29,880.80",,,,,,,
1/21/2021,11:47:05,TRD,SOLD -4 GME @42.5525,,170.21,"30,051.01",,,,,,,
1/21/2021,11:51:29,TRD,BOT +10 HYLN @18.028,,-180.28,"29,870.73",,,,,,,
1/21/2021,11:53:25,TRD,SOLD -10 HYLN @17.833,,178.33,"30,049.06",,,,,,,
1/21/2021,12:08:24,TRD,BOT +8 HYLN @18.03875,,-144.31,"29,904.75",,,,,,,
1/21/2021,12:08:24,TRD,BOT +2 HYLN @18.04,,-36.08,"29,868.67",,,,,,,
1/21/2021,12:13:20,TRD,SOLD -8 HYLN @17.8825,,143.06,"30,011.73",,,,,,,
1/21/2021,12:13:20,TRD,SOLD -2 HYLN @17.885,,35.77,"30,047.50",,,,,,,
1/21/2021,12:58:55,TRD,BOT +10 UAL @42.509,,-425.09,"29,622.41",,,,,,,
1/21/2021,13:06:03,TRD,SOLD -2 UAL @42.62,,85.24,"29,707.65",,,,,,,
1/21/2021,13:07:22,TRD,SOLD -2 UAL @42.66,,85.32,"29,792.97",,,,,,,
1/21/2021,13:08:30,TRD,SOLD -1 UAL @42.76,,42.76,"29,835.73",,,,,,,
1/21/2021,13:08:49,TRD,SOLD -1 UAL @42.76,,42.76,"29,878.49",,,,,,,
1/21/2021,13:09:47,TRD,SOLD -1 UAL @42.78,,42.78,"29,921.27",,,,,,,
1/21/2021,13:13:05,TRD,SOLD -1 UAL @42.69,,42.69,"29,963.96",,,,,,,
1/21/2021,13:16:46,TRD,SOLD -1 UAL @42.83,,42.83,"30,006.79",,,,,,,
1/21/2021,13:20:44,TRD,BOT +1 UAL @42.76,,-42.76,"29,964.03",,,,,,,
1/21/2021,13:22:17,TRD,SOLD -2 UAL @42.62,,85.24,"30,049.27",,,,,,,
1/21/2021,13:25:22,TRD,BOT +10 MARA @17.58,,-175.8,"29,873.47",,,,,,,
1/21/2021,13:25:54,TRD,SOLD -2 MARA @17.59,,35.18,"29,908.65",,,,,,,
1/21/2021,13:26:05,TRD,SOLD -2 MARA @17.59,,35.18,"29,943.83",,,,,,,
1/21/2021,13:26:25,TRD,SOLD -2 MARA @17.62,,35.25,"29,979.08",,,,,,,
1/21/2021,13:26:48,TRD,SOLD -1 MARA @17.65,,17.65,"29,996.73",,,,,,,
1/21/2021,13:30:34,TRD,SOLD -1 MARA @17.72,,17.72,"30,014.45",,,,,,,
1/21/2021,13:37:35,TRD,SOLD -1 MARA @17.92,,17.92,"30,032.37",,,,,,,
1/21/2021,13:41:57,TRD,BOT +10 AMD @91.125,,-911.25,"29,121.12",,,,,,,
1/21/2021,13:42:18,TRD,SOLD -2 AMD @91.18,,182.36,"29,303.48",,,,,,,
1/21/2021,13:42:22,TRD,SOLD -2 AMD @91.17,,182.34,"29,485.82",,,,,,,
1/21/2021,13:42:49,TRD,SOLD -2 AMD @91.16,,182.32,"29,668.14",,,,,,,
1/21/2021,13:43:20,TRD,SOLD -4 AMD @91.115,,364.46,"30,032.59",,,,,,,
1/21/2021,13:50:42,TRD,SOLD -1 MARA @18.00,,18,"30,050.59",,,,,,,
1/21/2021,13:58:32,TRD,BOT +10 UAL @42.777,,-427.77,"29,622.82",,,,,,,
1/21/2021,13:59:18,TRD,SOLD -2 UAL @42.82,,85.64,"29,708.46",,,,,,,
1/21/2021,13:59:20,TRD,SOLD -2 UAL @42.845,,85.69,"29,794.15",,,,,,,
1/21/2021,13:59:34,TRD,SOLD -2 UAL @42.82,,85.64,"29,879.79",,,,,,,
1/21/2021,14:03:58,TRD,SOLD -4 UAL @42.795,,171.18,"30,050.97",,,,,,,
1/21/2021,14:10:55,TRD,BOT +5 FB @271.572,,"-1,357.86","28,693.11",,,,,,,
1/21/2021,14:11:22,TRD,SOLD -1 FB @271.60,,271.61,"28,964.71",,,,,,,
1/21/2021,14:11:27,TRD,SOLD -1 FB @271.61,,271.61,"29,236.31",,,,,,,
1/21/2021,14:11:33,TRD,SOLD -1 FB @271.64,,271.64,"29,507.94",,,,,,,
1/21/2021,14:11:39,TRD,SOLD -1 FB @271.65,,271.65,"29,779.58",,,,,,,
1/21/2021,14:11:48,TRD,SOLD -1 FB @271.54,,271.54,"30,051.11",,,,,,,
1/21/2021,14:14:05,TRD,BOT +10 AMD @91.50,,-915,"29,136.11",,,,,,,
1/21/2021,14:14:27,TRD,SOLD -2 AMD @91.51,,183.02,"29,319.13",,,,,,,
1/21/2021,14:14:29,TRD,SOLD -2 AMD @91.53,,183.06,"29,502.19",,,,,,,
